queue_length,hop_count,packet_drop_ratio,round_trip_time,bandwidth_utilization,inter_arrival_time,congestion_label
56,3,0.034,14,0.391,0.0341,0
97,9,0.056,63,0.319,0.0404,1
19,2,0.035,56,0.5,0.0142,0
76,9,0.018,186,0.758,0.0414,1
65,6,0.024,18,0.431,0.0254,1
25,6,0.092,108,0.738,0.0048,0
87,5,0.041,29,0.93,0.0039,1
91,9,0.073,131,0.361,0.0174,1
79,9,0.101,70,0.737,0.0395,1
79,9,0.138,132,0.588,0.0357,1
92,8,0.008,172,0.864,0.0396,1
28,3,0.16,187,0.415,0.0263,1
7,2,0.126,91,0.75,0.0226,1
26,5,0.016,71,0.845,0.0082,0
57,9,0.175,154,0.914,0.0171,1
6,9,0.184,12,0.744,0.0223,1
92,4,0.012,169,0.623,0.0053,1
34,5,0.055,22,0.702,0.0118,0
42,9,0.161,129,0.865,0.0303,1
6,5,0.15,134,0.671,0.037,1
68,3,0.037,98,0.32,0.0499,1
64,4,0.042,82,0.905,0.0467,1
25,5,0.074,77,0.748,0.0325,0
37,2,0.097,151,0.74,0.0216,0
80,2,0.124,110,0.44,0.0322,1
62,6,0.074,107,0.728,0.0395,1
26,4,0.093,20,0.556,0.0068,0
93,4,0.149,114,0.723,0.0211,1
53,6,0.007,193,0.369,0.0422,0
95,5,0.05,76,0.728,0.0198,1
63,4,0.143,132,0.95,0.029,1
46,2,0.179,38,0.331,0.0298,1
96,2,0.102,146,0.935,0.01,1
64,9,0.106,162,0.564,0.0187,1
84,3,0.021,85,0.866,0.0174,1
19,4,0.089,179,0.809,0.0023,0
66,5,0.107,18,0.669,0.0022,1
66,6,0.048,49,0.78,0.0418,1
51,6,0.054,34,0.871,0.0144,1
66,5,0.075,14,0.563,0.0264,1
55,8,0.004,148,0.513,0.0156,0
59,7,0.064,196,0.734,0.0471,0
68,3,0.042,133,0.825,0.0137,1
7,6,0.065,47,0.795,0.0221,0
55,4,0.024,81,0.819,0.0438,0
11,3,0.178,142,0.583,0.0423,1
25,4,0.119,185,0.832,0.0101,1
77,8,0.136,99,0.378,0.0403,1
43,2,0.158,155,0.654,0.0235,1
22,3,0.1,46,0.304,0.0247,0
8,9,0.017,69,0.511,0.0075,0
93,6,0.107,185,0.538,0.0049,1
64,3,0.117,37,0.558,0.0367,1
18,3,0.149,90,0.752,0.0253,1
13,3,0.086,123,0.553,0.0224,0
94,7,0.026,49,0.592,0.0367,1
57,3,0.057,54,0.454,0.0385,0
6,4,0.073,71,0.543,0.0088,0
